Type of Crisis,release_year,title
Civil Rights,1965,"['Planet of the Vampires', 'Planet of the Vampires', 'Planet of the Vampires', 'Planet of the Vampires', 'Planet of the Vampires', 'Planet of the Vampires', 'Repulsion', 'Repulsion', 'Repulsion', 'Repulsion', 'Repulsion', 'Repulsion']"
Civil Rights,1966,"['Munster, Go Home!', 'Munster, Go Home!']"
Civil Rights,1967,"['The Fearless Vampire Killers', 'Wait Until Dark', 'Viy']"
Civil Rights,1968,"[""Rosemary's Baby"", ""Rosemary's Baby"", ""Rosemary's Baby"", ""Rosemary's Baby"", ""Rosemary's Baby"", ""Rosemary's Baby"", 'Night of the Living Dead', 'Night of the Living Dead', 'Night of the Living Dead', 'Night of the Living Dead', 'Night of the Living Dead', 'Night of the Living Dead', ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture""]"
Civil Rights,1990,['Erotic Ghost Story']
Civil Rights,1992,"[""Bram Stoker's Dracula"", ""Bram Stoker's Dracula"", ""Bram Stoker's Dracula"", ""Bram Stoker's Dracula"", 'Alien³', 'Alien³', 'Alien³', 'Alien³', 'Erotic Ghost Story III', 'Erotic Ghost Story III', 'Erotic Ghost Story III', 'Erotic Ghost Story III', 'Dr. Lamb', 'Dr. Lamb', 'Dr. Lamb', 'Dr. Lamb']"
Civil Rights,2013,"['The Conjuring', 'World War Z', ""All Hallows' Eve""]"
Civil Rights,2017,"['Alien: Covenant', 'Life']"
Cold War,1960,"['Psycho', 'Peeping Tom', 'Village of the Damned', 'The Brides of Dracula', '13 Ghosts', 'Eyes Without a Face']"
Cold War,1964,['Onibaba']
Cold War,1967,"['The Fearless Vampire Killers', 'Wait Until Dark', 'Viy']"
Cold War,1968,"[""Rosemary's Baby"", 'Night of the Living Dead', ""Shogun's Joy of Torture""]"
Cold War,1979,"['Alien', 'Alien', 'Alien', 'The Amityville Horror', 'The Amityville Horror', 'The Amityville Horror']"
Cold War,1980,"['The Shining', 'The Shining', 'The Shining', 'The Shining', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust']"
Cold War,1982,"['Female Teacher: In Front of the Students', 'The Thing']"
Cold War,1985,"[""A Nightmare on Elm Street Part 2: Freddy's Revenge"", 'Beautiful Teacher in Torture Hell', 'Daughters of Eve']"
Cold War,1987,"[""Dragon Ball: Sleeping Princess in Devil's Castle""]"
Cold War,1990,"['Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story']"
Cold War,1991,"[""Child's Play 3"", ""Child's Play 3"", ""Child's Play 3"", ""Child's Play 3"", ""Child's Play 3""]"
Cold War,1994,"['A Chinese Torture Chamber Story', 'Interview with the Vampire']"
Cold War,1999,"['The Blair Witch Project', 'The Blair Witch Project']"
Cold War,2019,"['It Chapter Two', 'Ready or Not', 'Midsommar']"
Crime,1972,['The Case of the Bloody Iris']
Crime,1978,"['Halloween', 'Dawn of the Dead', 'Day of the Woman', 'Damien: Omen II']"
Crime,1990,"['Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story']"
Crime,1992,"[""Bram Stoker's Dracula"", 'Alien³', 'Erotic Ghost Story III', 'Dr. Lamb']"
Crime,1995,['Species']
Cultural,1960,"['Psycho', 'Psycho', 'Psycho', 'Psycho', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Peeping Tom', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'Village of the Damned', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', 'The Brides of Dracula', '13 Ghosts', '13 Ghosts', '13 Ghosts', '13 Ghosts', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face', 'Eyes Without a Face']"
Cultural,1962,"['What Ever Happened to Baby Jane?', 'What Ever Happened to Baby Jane?', 'What Ever Happened to Baby Jane?']"
Cultural,1963,"['The Birds', 'The Birds', 'The Day of the Triffids', 'The Day of the Triffids']"
Cultural,1964,"['Onibaba', 'Onibaba']"
Cultural,1966,"['Munster, Go Home!']"
Cultural,1967,"['The Fearless Vampire Killers', 'The Fearless Vampire Killers', 'The Fearless Vampire Killers', 'The Fearless Vampire Killers', 'Wait Until Dark', 'Wait Until Dark', 'Wait Until Dark', 'Wait Until Dark', 'Viy', 'Viy', 'Viy', 'Viy']"
Cultural,1968,"[""Rosemary's Baby"", ""Rosemary's Baby"", 'Night of the Living Dead', 'Night of the Living Dead', ""Shogun's Joy of Torture"", ""Shogun's Joy of Torture""]"
Cultural,1969,"['Marquis de Sade: Justine', 'Marquis de Sade: Justine', 'Marquis de Sade: Justine', 'Marquis de Sade: Justine', 'Marquis de Sade: Justine']"
Cultural,1972,['The Case of the Bloody Iris']
Cultural,1973,"['The Exorcist', 'The Exorcist', 'The Exorcist']"
Cultural,1974,"['The Texas Chain Saw Massacre', 'Black Christmas']"
Cultural,1975,"['Jaws', 'Jaws', 'Jaws', 'Jaws', 'Deep Throat in Tokyo', 'Deep Throat in Tokyo', 'Deep Throat in Tokyo', 'Deep Throat in Tokyo', 'The Rocky Horror Picture Show', 'The Rocky Horror Picture Show', 'The Rocky Horror Picture Show', 'The Rocky Horror Picture Show']"
Cultural,1976,"['Rape!', 'Rape!', 'Carrie', 'Carrie', 'Salò, or the 120 Days of Sodom', 'Salò, or the 120 Days of Sodom']"
Cultural,1977,"['Exorcist II: The Heretic', 'Exorcist II: The Heretic', 'Exorcist II: The Heretic', 'Exorcist II: The Heretic', 'Suspiria', 'Suspiria', 'Suspiria', 'Suspiria', 'Call of the Blonde Goddess', 'Call of the Blonde Goddess', 'Call of the Blonde Goddess', 'Call of the Blonde Goddess', 'Emanuelle and the Last Cannibals', 'Emanuelle and the Last Cannibals', 'Emanuelle and the Last Cannibals', 'Emanuelle and the Last Cannibals']"
Cultural,1978,"['Halloween', 'Dawn of the Dead', 'Day of the Woman', 'Damien: Omen II']"
Cultural,1979,"['Alien', 'The Amityville Horror']"
Cultural,1980,"['The Shining', 'The Shining', 'Friday the 13th', 'Friday the 13th', 'Cannibal Holocaust', 'Cannibal Holocaust']"
Cultural,1981,"['Porno', 'Porno', 'The Evil Dead', 'The Evil Dead', 'Possession', 'Possession', 'Sadomania', 'Sadomania', 'An American Werewolf in London', 'An American Werewolf in London']"
Cultural,1984,"['A Nightmare on Elm Street', 'Gremlins', 'Nun in Rope Hell']"
Cultural,1985,"[""A Nightmare on Elm Street Part 2: Freddy's Revenge"", ""A Nightmare on Elm Street Part 2: Freddy's Revenge"", ""A Nightmare on Elm Street Part 2: Freddy's Revenge"", 'Beautiful Teacher in Torture Hell', 'Beautiful Teacher in Torture Hell', 'Beautiful Teacher in Torture Hell', 'Daughters of Eve', 'Daughters of Eve', 'Daughters of Eve']"
Cultural,1986,"['The Texas Chainsaw Massacre 2', 'The Fly']"
Cultural,1987,"[""Dragon Ball: Sleeping Princess in Devil's Castle"", ""Dragon Ball: Sleeping Princess in Devil's Castle""]"
Cultural,1988,"[""Child's Play""]"
Cultural,1990,"['Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story']"
Cultural,1991,"[""Child's Play 3""]"
Cultural,1995,['Species']
Cultural,1997,"['Alien Resurrection', 'Alien Resurrection', 'Alien Resurrection', ""The Devil's Advocate"", ""The Devil's Advocate"", ""The Devil's Advocate"", 'Scream 2', 'Scream 2', 'Scream 2', 'I Know What You Did Last Summer', 'I Know What You Did Last Summer', 'I Know What You Did Last Summer', 'Anaconda', 'Anaconda', 'Anaconda']"
Cultural,1999,"['The Blair Witch Project', 'The Blair Witch Project']"
Cultural,2000,"['Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Final Destination', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3', 'Scream 3']"
Cultural,2002,['28 Days Later']
Cultural,2003,"['Final Destination 2', 'Final Destination 2', 'Wrong Turn', 'Wrong Turn', 'Jeepers Creepers 2', 'Jeepers Creepers 2', 'The Texas Chainsaw Massacre', 'The Texas Chainsaw Massacre']"
Cultural,2004,"['Van Helsing', 'Van Helsing', 'Van Helsing', 'Van Helsing', 'Van Helsing', 'Van Helsing', 'Saw', 'Saw', 'Saw', 'Saw', 'Saw', 'Saw', 'Dawn of the Dead', 'Dawn of the Dead', 'Dawn of the Dead', 'Dawn of the Dead', 'Dawn of the Dead', 'Dawn of the Dead', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Anacondas: The Hunt for the Blood Orchid', 'Shaun of the Dead', 'Shaun of the Dead', 'Shaun of the Dead', 'Shaun of the Dead', 'Shaun of the Dead', 'Shaun of the Dead']"
Cultural,2005,['Constantine']
Cultural,2007,"['Wrong Turn 2: Dead End', 'Wrong Turn 2: Dead End', 'Wrong Turn 2: Dead End', 'Aliens vs Predator: Requiem', 'Aliens vs Predator: Requiem', 'Aliens vs Predator: Requiem']"
Cultural,2009,"['The Human Centipede (First Sequence)', 'The Human Centipede (First Sequence)', 'Wrong Turn 3: Left for Dead', 'Wrong Turn 3: Left for Dead']"
Cultural,2010,['Splice']
Cultural,2011,"['Terrifier', 'Thriller Night']"
Cultural,2017,"['Alien: Covenant', 'Life']"
Cultural,2018,"['Terrifier', 'Terrifier', 'A Quiet Place', 'A Quiet Place', 'Hereditary', 'Hereditary', 'The Meg', 'The Meg']"
Cultural,2019,"['It Chapter Two', 'It Chapter Two', 'It Chapter Two', 'It Chapter Two', 'It Chapter Two', 'Ready or Not', 'Ready or Not', 'Ready or Not', 'Ready or Not', 'Ready or Not', 'Midsommar', 'Midsommar', 'Midsommar', 'Midsommar', 'Midsommar']"
Domestic,1965,"['Planet of the Vampires', 'Repulsion']"
Domestic,1974,"['The Texas Chain Saw Massacre', 'Black Christmas']"
Domestic,1975,"['Jaws', 'Deep Throat in Tokyo', 'The Rocky Horror Picture Show']"
Domestic,1976,"['Rape!', 'Carrie', 'Salò, or the 120 Days of Sodom']"
Domestic,1979,"['Alien', 'The Amityville Horror']"
Domestic,1981,"['Porno', 'The Evil Dead', 'Possession', 'Sadomania', 'An American Werewolf in London']"
Domestic,1994,"['A Chinese Torture Chamber Story', 'Interview with the Vampire']"
Domestic,2013,"['The Conjuring', 'World War Z', ""All Hallows' Eve""]"
Domestic,2019,"['It Chapter Two', 'Ready or Not', 'Midsommar']"
Domestic Terror,1995,"['Species', 'Species']"
Domestic Terror,1999,"['The Blair Witch Project', 'The Blair Witch Project']"
Domestic Terror,2013,"['The Conjuring', 'The Conjuring', 'World War Z', 'World War Z', ""All Hallows' Eve"", ""All Hallows' Eve""]"
Drugs,1980,"['The Shining', 'Friday the 13th', 'Cannibal Holocaust']"
Drugs,1984,"['A Nightmare on Elm Street', 'Gremlins', 'Nun in Rope Hell']"
Drugs,1990,['Erotic Ghost Story']
Drugs,2006,"['Slaughtered Vomit Dolls', 'The Hills Have Eyes', 'Final Destination 3']"
Economics,1960,"['Psycho', 'Peeping Tom', 'Village of the Damned', 'The Brides of Dracula', '13 Ghosts', 'Eyes Without a Face']"
Economics,1969,['Marquis de Sade: Justine']
Economics,1973,"['The Exorcist', 'The Exorcist', 'The Exorcist', 'The Exorcist']"
Economics,1979,"['Alien', 'Alien', 'Alien', 'Alien', 'The Amityville Horror', 'The Amityville Horror', 'The Amityville Horror', 'The Amityville Horror']"
Economics,1980,"['The Shining', 'The Shining', 'The Shining', 'The Shining', 'The Shining', 'The Shining', 'The Shining', 'The Shining', 'The Shining', 'The Shining', 'The Shining', 'The Shining', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Friday the 13th', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust', 'Cannibal Holocaust']"
Economics,1981,"['Porno', 'Porno', 'The Evil Dead', 'The Evil Dead', 'Possession', 'Possession', 'Sadomania', 'Sadomania', 'An American Werewolf in London', 'An American Werewolf in London']"
Economics,1982,"['Female Teacher: In Front of the Students', 'The Thing']"
Economics,1985,"[""A Nightmare on Elm Street Part 2: Freddy's Revenge"", 'Beautiful Teacher in Torture Hell', 'Daughters of Eve']"
Economics,1987,"[""Dragon Ball: Sleeping Princess in Devil's Castle"", ""Dragon Ball: Sleeping Princess in Devil's Castle""]"
Economics,1990,"['Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story', 'Erotic Ghost Story']"
Economics,1992,"[""Bram Stoker's Dracula"", ""Bram Stoker's Dracula"", 'Alien³', 'Alien³', 'Erotic Ghost Story III', 'Erotic Ghost Story III', 'Dr. Lamb', 'Dr. Lamb']"
Economics,1994,"['A Chinese Torture Chamber Story', 'A Chinese Torture Chamber Story', 'Interview with the Vampire', 'Interview with the Vampire']"
Economics,1995,"['Species', 'Species']"
